registered,gender,age,industry,household_size,dependents,relationship
1,F,52,Health Care and Social Assistance,5,1,spouse
0,F,56,Health Care and Social Assistance,4,1,spouse
0,F,46,Health Care and Social Assistance,4,1,spouse
0,F,44,Health Care and Social Assistance,5,1,spouse
1,F,36,Health Care and Social Assistance,4,1,spouse
0,M,54,Health Care and Social Assistance,5,1,self
0,F,42,Health Care and Social Assistance,4,1,spouse
1,M,28,Health Care and Social Assistance,1,0,self
1,M,33,Health Care and Social Assistance,4,1,spouse
1,F,20,Health Care and Social Assistance,4,1,spouse
0,F,20,Health Care and Social Assistance,1,1,spouse
0,M,46,Educational Services,1,0,self
0,M,33,Health Care and Social Assistance,2,0,self
0,M,47,Health Care and Social Assistance,3,0,spouse
0,F,42,Public Administration,1,0,self
0,F,36,Health Care and Social Assistance,5,1,spouse
0,M,57,Health Care and Social Assistance,4,0,spouse
1,M,53,Educational Services,1,0,self
1,F,42,Manufacturing,5,1,spouse
1,F,42,Manufacturing,2,1,spouse
1,F,35,Manufacturing,4,1,spouse
1,F,35,Manufacturing,2,1,spouse
1,M,22,Health Care and Social Assistance,1,0,self
0,M,24,Information,3,0,spouse
0,M,24,Information,,0,spouse
0,F,36,Information,2,0,spouse
0,F,36,Information,,0,spouse
0,M,20,Information,5,1,spouse
0,M,20,Information,,0,spouse
1,M,63,Health Care and Social Assistance,3,0,spouse
1,F,47,Health Care and Social Assistance,5,1,spouse
1,F,47,Health Care and Social Assistance,3,1,spouse
1,M,22,Information,3,0,spouse
1,M,22,Information,,0,spouse
0,F,20,Information,5,1,spouse
0,F,20,Information,,0,spouse
0,M,22,Information,8,1,spouse
0,M,22,Information,,0,spouse
1,M,59,Health Care and Social Assistance,3,0,self
1,F,23,Retail Trade,1,0,self
1,F,28,Health Care and Social Assistance,3,1,spouse
1,M,28,Information,1,0,self
0,F,39,Health Care and Social Assistance,3,1,self
0,M,37,Finance and Insurance,1,0,self
0,F,29,Health Care and Social Assistance,1,0,self
0,F,53,Public Administration,2,0,self
1,M,39,Unknown,5,1,spouse
1,F,56,Health Care and Social Assistance,2,0,spouse
1,M,49,Information,1,0,self
1,M,20,Retail Trade,1,0,self
0,M,58,Health Care and Social Assistance,2,0,self
0,M,60,Health Care and Social Assistance,2,0,self
0,F,55,Health Care and Social Assistance,2,0,spouse
1,F,44,Unknown,7,1,self
0,M,21,Health Care and Social Assistance,3,1,spouse
0,F,43,Health Care and Social Assistance,1,0,self
1,F,48,Health Care and Social Assistance,2,0,spouse
1,F,39,Health Care and Social Assistance,4,1,spouse
1,F,47,Health Care and Social Assistance,4,1,self
0,M,62,Health Care and Social Assistance,2,0,self
0,F,52,Health Care and Social Assistance,3,1,spouse
0,F,35,Health Care and Social Assistance,4,1,self
0,M,39,Manufacturing,4,1,self
0,F,35,Health Care and Social Assistance,2,0,spouse
0,M,52,Manufacturing,1,0,self
0,M,55,Health Care and Social Assistance,2,0,self
0,M,28,Health Care and Social Assistance,1,0,self
0,M,24,Health Care and Social Assistance,1,0,self
0,M,29,Health Care and Social Assistance,1,0,self
0,F,23,Health Care and Social Assistance,5,1,spouse
0,M,27,Manufacturing,1,0,self
0,M,39,Health Care and Social Assistance,4,1,self
0,M,22,Health Care and Social Assistance,3,0,spouse
0,F,21,Finance and Insurance,4,0,spouse
0,F,57,Health Care and Social Assistance,1,0,self
0,F,45,Health Care and Social Assistance,5,1,spouse
0,F,40,Health Care and Social Assistance,5,1,spouse
0,F,46,Health Care and Social Assistance,2,0,spouse
0,M,23,Finance and Insurance,3,0,spouse
0,M,60,Health Care and Social Assistance,2,0,spouse
0,M,24,Information,3,0,spouse
0,M,24,Information,,0,spouse
0,M,39,Health Care and Social Assistance,4,1,spouse
0,M,39,Health Care and Social Assistance,1,1,spouse
0,M,24,Educational Services,1,0,self
0,M,19,Retail Trade,7,1,spouse
0,F,23,Manufacturing,7,1,spouse
0,F,23,Manufacturing,1,1,spouse
0,F,27,Health Care and Social Assistance,3,1,spouse
0,F,27,Health Care and Social Assistance,,0,spouse
0,M,68,Retail Trade,4,0,spouse
0,M,26,Information,4,1,spouse
0,M,26,Information,,0,spouse
0,F,41,Health Care and Social Assistance,4,1,spouse
0,F,20,Information,3,1,spouse
0,F,20,Information,,0,spouse
0,F,62,Health Care and Social Assistance,2,0,self
0,F,35,Information,3,1,spouse
0,F,35,Information,,0,spouse
0,M,21,Information,6,1,spouse
0,M,21,Information,,0,spouse
1,M,23,Information,5,1,spouse
1,M,23,Information,,0,spouse
1,F,34,Information,4,1,spouse
1,F,34,Information,,0,spouse
1,F,21,Information,4,1,spouse
1,F,21,Information,,0,spouse
0,M,51,Information,4,1,spouse
0,M,51,Information,,0,spouse
0,F,39,Health Care and Social Assistance,5,1,spouse
0,F,41,Retail Trade,1,0,self
0,M,19,Information,2,1,spouse
0,M,19,Information,,0,spouse
1,F,42,Health Care and Social Assistance,4,1,spouse
1,M,46,Health Care and Social Assistance,2,1,self
1,M,31,Health Care and Social Assistance,2,0,spouse
1,F,23,Health Care and Social Assistance,4,0,spouse
1,F,23,Health Care and Social Assistance,,0,spouse
0,F,43,Health Care and Social Assistance,4,1,spouse
0,F,59,Health Care and Social Assistance,1,0,self
0,M,19,Information,5,1,spouse
0,M,19,Information,,0,spouse
1,M,20,Health Care and Social Assistance,5,1,spouse
1,F,21,Health Care and Social Assistance,5,1,spouse
1,F,21,Health Care and Social Assistance,1,1,spouse
1,F,47,Public Administration,1,0,self
0,M,25,Public Administration,5,1,spouse
0,M,24,Information,2,0,spouse
0,M,24,Information,,0,spouse
0,F,38,Health Care and Social Assistance,2,0,spouse
1,M,45,Wholesale Trade,1,0,self
1,F,58,Health Care and Social Assistance,2,0,spouse
1,F,37,Health Care and Social Assistance,2,0,spouse
1,F,37,Health Care and Social Assistance,,0,spouse
0,F,20,Health Care and Social Assistance,4,0,spouse
0,F,53,Health Care and Social Assistance,1,0,self
0,M,23,Information,9,1,spouse
1,F,61,Health Care and Social Assistance,2,0,spouse
0,F,33,Health Care and Social Assistance,4,1,spouse
0,F,33,Health Care and Social Assistance,,0,spouse
1,F,36,Manufacturing,6,1,spouse
1,F,32,Health Care and Social Assistance,4,1,spouse
1,M,21,Health Care and Social Assistance,4,0,spouse
0,F,40,Public Administration,4,1,self
0,M,56,Health Care and Social Assistance,2,0,spouse
0,M,56,Health Care and Social Assistance,,0,spouse
0,F,35,Health Care and Social Assistance,4,1,spouse
0,F,48,Health Care and Social Assistance,3,1,spouse
0,M,51,Manufacturing,4,1,self
0,F,44,Public Administration,4,1,spouse
0,M,38,Health Care and Social Assistance,4,1,spouse
0,F,37,Health Care and Social Assistance,4,1,spouse
0,M,27,Health Care and Social Assistance,1,0,self
0,F,21,Information,3,1,spouse
0,F,21,Information,,0,spouse
0,F,24,Health Care and Social Assistance,3,0,spouse
0,F,24,Health Care and Social Assistance,,0,spouse
0,F,22,Health Care and Social Assistance,5,1,spouse
0,F,22,Health Care and Social Assistance,1,1,spouse
0,M,23,Information,5,1,spouse
0,M,23,Information,,0,spouse
0,M,21,Information,6,1,spouse
0,M,21,Information,,0,spouse
0,M,20,Information,4,1,spouse
0,M,20,Information,,0,spouse
0,F,52,Health Care and Social Assistance,4,1,spouse
0,F,19,Health Care and Social Assistance,3,1,spouse
0,F,19,Health Care and Social Assistance,1,1,spouse
0,M,25,Information,5,1,spouse
0,M,25,Information,,0,spouse
0,F,26,Health Care and Social Assistance,3,1,spouse
0,M,35,Health Care and Social Assistance,2,0,self
0,F,33,Health Care and Social Assistance,3,1,spouse
0,F,62,Retail Trade,1,0,self
0,M,22,Health Care and Social Assistance,6,0,spouse
0,F,30,Health Care and Social Assistance,2,0,spouse
0,M,48,Information,1,0,self
0,M,26,Information,4,1,spouse
0,M,26,Information,,0,spouse
0,M,59,Health Care and Social Assistance,1,0,self
0,M,21,Health Care and Social Assistance,5,1,spouse
0,M,25,Health Care and Social Assistance,4,0,spouse
0,M,25,Health Care and Social Assistance,,0,spouse
0,M,59,Information,3,0,spouse
0,M,59,Information,,0,spouse
0,F,49,Health Care and Social Assistance,1,0,self
0,F,63,Health Care and Social Assistance,1,0,self
0,M,31,Health Care and Social Assistance,4,0,spouse
0,M,32,Manufacturing,2,0,self
0,F,59,Health Care and Social Assistance,2,0,self
0,F,30,Health Care and Social Assistance,3,1,spouse
0,M,29,Unknown,3,1,self
0,M,23,Health Care and Social Assistance,4,1,spouse
0,F,36,Retail Trade,1,0,self
0,M,55,Unknown,4,1,self
0,M,46,Information,6,1,spouse
0,M,46,Information,,0,spouse
0,F,56,Unknown,3,0,self
0,F,50,Unknown,3,1,self
0,F,26,Finance and Insurance,2,1,self
0,M,44,Unknown,3,1,self
0,M,39,Finance and Insurance,4,1,spouse
0,M,56,Unknown,4,1,self
0,M,28,Unknown,1,0,self
0,M,20,Unknown,3,1,spouse
0,F,35,Health Care and Social Assistance,4,1,spouse
0,F,46,Health Care and Social Assistance,1,0,self
0,F,28,Health Care and Social Assistance,2,0,self
0,F,57,Health Care and Social Assistance,1,0,self
1,M,73,Health Care and Social Assistance,3,0,self
1,M,36,Health Care and Social Assistance,3,1,self
1,F,49,Public Administration,2,0,self
1,F,20,Health Care and Social Assistance,2,0,spouse
1,M,68,Health Care and Social Assistance,2,0,spouse
1,M,68,Health Care and Social Assistance,,0,spouse
0,M,33,Wholesale Trade,4,1,self
0,M,22,Manufacturing,4,1,spouse
0,M,34,Public Administration,4,1,self
0,M,28,Public Administration,2,0,spouse
0,M,28,Public Administration,,0,spouse
0,F,40,Health Care and Social Assistance,5,1,spouse
1,F,40,Health Care and Social Assistance,1,0,self
1,F,37,Educational Services,3,1,spouse
1,F,37,Educational Services,1,1,spouse
1,F,46,Health Care and Social Assistance,5,1,spouse
1,F,46,Health Care and Social Assistance,1,1,spouse
0,F,39,Information,3,1,spouse
0,F,39,Information,,0,spouse
0,M,27,Health Care and Social Assistance,1,0,self
0,F,39,Health Care and Social Assistance,5,1,spouse
1,F,55,Health Care and Social Assistance,2,1,self
1,M,24,Information,5,1,spouse
1,M,24,Information,,0,spouse
1,M,29,Information,2,0,spouse
0,M,29,Information,,0,spouse
0,M,20,Information,4,1,spouse
0,M,20,Information,,0,spouse
0,F,59,Health Care and Social Assistance,1,0,self
1,F,52,Wholesale Trade,1,0,self
1,M,20,Health Care and Social Assistance,9,1,spouse
1,M,20,Health Care and Social Assistance,7,1,spouse
1,F,61,Health Care and Social Assistance,2,0,spouse
0,M,25,Health Care and Social Assistance,3,0,spouse
0,F,49,Public Administration,5,1,self
0,F,40,Information,5,1,spouse
1,F,40,Information,3,1,spouse
0,F,50,Retail Trade,1,0,self
0,F,22,Health Care and Social Assistance,3,0,spouse
1,M,23,Retail Trade,1,0,self
1,F,50,Health Care and Social Assistance,2,0,spouse
1,F,50,Health Care and Social Assistance,,0,spouse
0,F,52,Health Care and Social Assistance,5,1,spouse
0,F,52,Health Care and Social Assistance,1,1,spouse
0,F,33,Health Care and Social Assistance,4,1,spouse
0,F,31,Information,2,0,spouse
0,F,31,Information,,0,spouse
0,F,52,Health Care and Social Assistance,3,1,spouse
0,F,46,Health Care and Social Assistance,4,1,spouse
0,F,37,Information,3,1,spouse
0,M,34,Health Care and Social Assistance,1,0,self
0,M,23,Manufacturing,7,1,spouse
0,M,62,Unknown,1,0,self
0,F,35,Information,4,1,spouse
0,F,35,Information,,0,spouse
0,M,33,Information,4,1,spouse
0,M,33,Information,,0,spouse
0,M,43,Information,8,1,spouse
0,M,43,Information,,0,spouse
0,M,50,Unknown,4,0,self
0,M,50,Unknown,,0,self
0,M,63,Unknown,2,0,self
0,M,66,Unknown,2,0,self
0,M,66,Unknown,,0,self
0,F,23,Health Care and Social Assistance,1,0,self
0,M,66,Unknown,2,0,self
0,F,50,Health Care and Social Assistance,2,0,spouse
0,F,52,Unknown,2,0,spouse
0,M,53,Health Care and Social Assistance,2,0,self
0,M,57,Health Care and Social Assistance,2,0,self
0,M,63,Health Care and Social Assistance,2,1,self
0,F,23,Information,4,1,spouse
0,M,51,Health Care and Social Assistance,4,0,spouse
0,F,46,Health Care and Social Assistance,3,0,spouse
0,F,23,Health Care and Social Assistance,4,0,spouse
1,F,23,Health Care and Social Assistance,,0,spouse
1,M,58,Health Care and Social Assistance,2,0,spouse
1,M,58,Health Care and Social Assistance,,0,spouse
1,F,35,Health Care and Social Assistance,2,1,self
1,F,51,Health Care and Social Assistance,2,0,spouse
1,M,40,Health Care and Social Assistance,2,0,spouse
0,F,41,Health Care and Social Assistance,5,1,spouse
0,M,63,Public Administration,1,0,self
0,F,56,Health Care and Social Assistance,1,0,self
0,M,37,Manufacturing,4,1,spouse
0,M,51,Health Care and Social Assistance,2,0,self
0,M,46,Health Care and Social Assistance,3,1,self
1,F,35,Health Care and Social Assistance,2,0,spouse
1,F,51,Information,6,1,spouse
1,F,51,Information,,0,spouse
1,M,20,Health Care and Social Assistance,5,1,spouse
1,F,33,Health Care and Social Assistance,4,1,spouse
0,F,33,Health Care and Social Assistance,1,1,spouse
0,M,19,Health Care and Social Assistance,5,1,spouse
0,F,27,Manufacturing,2,0,spouse
0,F,27,Manufacturing,,0,spouse
1,M,19,Manufacturing,3,1,spouse
1,M,19,Manufacturing,2,1,spouse
1,F,32,Public Administration,4,1,self
1,F,24,Health Care and Social Assistance,7,1,spouse
0,F,19,Information,3,1,spouse
0,F,19,Information,,0,spouse
0,M,25,Information,4,0,spouse
0,M,25,Information,,0,spouse
1,F,36,Retail Trade,4,1,spouse
1,F,36,Retail Trade,1,1,spouse
1,M,20,Information,4,1,spouse
1,M,20,Information,,0,spouse
0,F,33,Information,3,1,spouse
0,F,33,Information,,0,spouse
0,M,56,Information,2,0,spouse
1,M,56,Information,,0,spouse
0,M,38,Manufacturing,3,1,spouse
0,M,38,Manufacturing,1,1,spouse
1,M,29,Information,2,0,spouse
1,M,29,Information,,0,spouse
1,M,38,Information,2,0,spouse
0,M,38,Information,,0,spouse
0,F,25,Health Care and Social Assistance,2,0,spouse
0,F,31,Retail Trade,1,0,self
0,M,29,Health Care and Social Assistance,1,0,self
0,F,61,Health Care and Social Assistance,1,0,self
0,F,47,Health Care and Social Assistance,4,1,spouse
0,F,37,Health Care and Social Assistance,4,1,spouse
1,F,55,Health Care and Social Assistance,4,1,spouse
1,F,23,Retail Trade,3,0,spouse
1,F,45,Health Care and Social Assistance,2,0,self
1,F,55,Health Care and Social Assistance,2,0,spouse
1,M,35,Finance and Insurance,1,0,self
1,M,24,Manufacturing,3,0,spouse
0,M,20,Health Care and Social Assistance,5,1,spouse
0,M,41,Health Care and Social Assistance,4,1,spouse
0,M,41,Health Care and Social Assistance,2,1,spouse
0,F,28,Retail Trade,2,1,self
0,F,24,Other Services (except Public Administration),3,0,spouse
0,F,24,Information,4,1,spouse
1,F,24,Information,,0,spouse
1,F,38,Health Care and Social Assistance,5,1,spouse
1,F,29,Information,2,0,spouse
1,M,54,Information,4,1,spouse
1,M,26,Health Care and Social Assistance,3,1,spouse
0,F,32,Health Care and Social Assistance,2,0,spouse
0,F,54,Health Care and Social Assistance,1,0,self
0,F,25,Health Care and Social Assistance,1,0,self
0,F,46,Health Care and Social Assistance,2,0,spouse
1,F,36,Health Care and Social Assistance,3,1,spouse
1,F,37,Health Care and Social Assistance,4,1,spouse
1,F,33,Wholesale Trade,4,1,self
1,M,37,Manufacturing,1,0,self
0,F,46,Health Care and Social Assistance,5,1,self
0,F,46,Health Care and Social Assistance,1,1,self
0,M,24,Health Care and Social Assistance,7,1,spouse
0,F,27,Health Care and Social Assistance,2,0,spouse
1,F,40,Information,4,1,spouse
1,F,40,Information,,0,spouse
1,F,35,Health Care and Social Assistance,2,0,spouse
1,F,22,Manufacturing,5,1,spouse
0,M,61,Health Care and Social Assistance,2,0,spouse
0,M,56,Manufacturing,3,0,spouse
0,M,46,Information,4,1,self
1,F,29,Health Care and Social Assistance,1,0,self
0,F,64,Health Care and Social Assistance,1,0,self
0,M,19,Information,4,1,spouse
1,M,19,Information,,0,spouse
1,F,46,Information,2,0,spouse
1,F,46,Information,,0,spouse
0,F,38,Information,3,1,spouse
0,F,38,Information,,0,spouse
0,F,47,Information,2,0,spouse
0,F,47,Information,,0,spouse
0,M,49,Information,4,1,spouse
0,M,49,Information,,0,spouse
0,M,19,Information,5,1,spouse
0,M,19,Information,,0,spouse
0,M,19,Health Care and Social Assistance,5,1,spouse
0,F,34,Retail Trade,6,1,self
0,M,40,Health Care and Social Assistance,4,1,self
0,M,21,Retail Trade,5,1,spouse
0,F,54,Retail Trade,1,0,self
0,F,20,Health Care and Social Assistance,6,1,spouse
0,M,29,Information,1,0,self
0,F,22,Information,3,0,spouse
0,F,22,Information,,0,spouse
1,M,25,Health Care and Social Assistance,4,0,spouse
1,M,47,Health Care and Social Assistance,3,1,spouse
1,F,48,Health Care and Social Assistance,4,1,self
1,M,54,Health Care and Social Assistance,3,1,spouse
1,F,23,Retail Trade,4,1,spouse
1,F,47,Retail Trade,2,0,self
0,M,40,Manufacturing,2,0,spouse
0,F,49,Health Care and Social Assistance,3,1,spouse
0,M,28,Health Care and Social Assistance,1,0,self
0,M,23,Retail Trade,1,0,self
0,M,33,Manufacturing,1,0,self
0,M,18,Health Care and Social Assistance,2,1,spouse
1,M,18,Health Care and Social Assistance,1,1,spouse
1,M,51,Retail Trade,1,0,self
1,F,45,Health Care and Social Assistance,2,0,spouse
1,F,20,Health Care and Social Assistance,4,1,spouse
1,M,24,Health Care and Social Assistance,4,0,spouse
0,F,62,Unknown,3,1,spouse
0,M,18,Health Care and Social Assistance,5,1,spouse
0,F,58,Health Care and Social Assistance,3,1,spouse
0,F,48,Unknown,2,1,self
1,M,42,Unknown,3,1,self
1,M,49,Unknown,5,1,self
1,F,45,Information,2,0,spouse
1,F,45,Information,,0,spouse
0,M,51,"Professional, Scientific, and Technical Services",4,1,self
0,F,19,Unknown,4,1,spouse
0,M,57,Health Care and Social Assistance,2,0,spouse
0,M,27,Unknown,1,0,self
1,M,23,Health Care and Social Assistance,4,0,spouse
1,F,41,Health Care and Social Assistance,4,1,spouse
1,F,41,Health Care and Social Assistance,2,1,spouse
1,F,32,Health Care and Social Assistance,1,0,self
0,F,35,Health Care and Social Assistance,4,1,spouse
0,F,52,Health Care and Social Assistance,4,0,spouse
0,F,39,Health Care and Social Assistance,2,0,spouse
1,F,65,Health Care and Social Assistance,4,0,spouse
0,M,36,Public Administration,4,1,spouse
0,F,51,Retail Trade,2,0,self
1,F,33,Health Care and Social Assistance,1,0,self
1,M,43,Health Care and Social Assistance,1,0,self
1,F,79,Finance and Insurance,1,0,self
0,M,38,Finance and Insurance,2,0,self
0,F,21,Health Care and Social Assistance,2,0,spouse
0,M,35,Health Care and Social Assistance,2,0,spouse
0,F,34,Health Care and Social Assistance,1,0,self
0,M,27,Manufacturing,1,0,self
0,M,57,Health Care and Social Assistance,2,0,self
0,F,47,Health Care and Social Assistance,4,1,spouse
0,F,38,Health Care and Social Assistance,3,1,spouse
0,F,38,Health Care and Social Assistance,1,1,spouse
0,F,51,Public Administration,1,0,self
0,F,38,Health Care and Social Assistance,5,1,spouse
0,F,43,Manufacturing,1,0,self
1,M,33,Health Care and Social Assistance,2,0,spouse
1,F,55,Health Care and Social Assistance,5,1,spouse
1,F,55,Health Care and Social Assistance,1,1,spouse
1,F,21,Health Care and Social Assistance,2,0,spouse
1,F,32,Manufacturing,4,1,spouse
1,M,53,Information,3,0,spouse
0,M,53,Information,,0,spouse
0,M,39,Information,7,1,spouse
0,M,39,Information,,0,spouse
0,F,24,Information,6,1,spouse
0,F,24,Information,,0,spouse
0,F,35,Information,3,1,spouse
1,F,35,Information,,0,spouse
1,M,49,Health Care and Social Assistance,1,0,self
1,M,27,Health Care and Social Assistance,1,0,self
1,F,54,Health Care and Social Assistance,3,0,spouse
1,M,29,Finance and Insurance,3,1,spouse
0,M,29,Finance and Insurance,1,1,spouse
0,M,45,Finance and Insurance,2,0,self
0,M,25,Retail Trade,2,0,self
0,F,27,Information,3,1,spouse
1,F,27,Information,,0,spouse
1,M,40,Retail Trade,1,0,self
1,M,48,Information,3,1,spouse
1,M,48,Information,2,1,spouse
0,F,19,Information,4,1,spouse
0,F,19,Information,,0,spouse
0,F,33,Health Care and Social Assistance,4,1,spouse
0,M,35,Health Care and Social Assistance,4,1,spouse
1,M,43,Health Care and Social Assistance,1,0,self
1,F,50,Health Care and Social Assistance,4,1,spouse
1,F,58,Unknown,2,0,self
1,M,18,Retail Trade,5,1,spouse
0,M,18,Retail Trade,3,1,spouse
0,M,48,Unknown,3,0,self
0,M,49,Unknown,5,1,self
1,F,59,Health Care and Social Assistance,2,0,spouse
0,M,28,Wholesale Trade,3,1,self
0,M,38,Unknown,5,1,self
1,F,31,Information,3,1,spouse
1,F,31,Information,,0,spouse
1,M,39,Retail Trade,1,0,self
0,M,62,Health Care and Social Assistance,2,0,spouse
0,F,39,Finance and Insurance,1,0,self
0,F,23,Information,6,1,spouse
1,F,23,Information,,0,spouse
1,F,42,Wholesale Trade,3,1,self
1,F,37,Unknown,6,1,spouse
1,M,58,Health Care and Social Assistance,2,0,self
1,F,47,Health Care and Social Assistance,2,0,self
1,M,32,Health Care and Social Assistance,1,0,self
0,F,21,Health Care and Social Assistance,4,0,spouse
0,F,36,Health Care and Social Assistance,9,1,spouse
0,F,27,Health Care and Social Assistance,1,0,self
0,M,57,Manufacturing,2,1,self
0,F,55,Health Care and Social Assistance,1,0,self
0,F,48,Health Care and Social Assistance,3,1,spouse
1,F,23,Health Care and Social Assistance,2,0,spouse
1,F,23,Health Care and Social Assistance,,0,spouse
1,F,20,Public Administration,4,0,spouse
1,F,52,Finance and Insurance,5,1,spouse
1,F,53,Public Administration,1,0,self
0,M,22,Manufacturing,4,0,spouse
0,F,43,Health Care and Social Assistance,4,1,spouse
0,F,64,Health Care and Social Assistance,2,0,spouse
0,M,48,Health Care and Social Assistance,1,0,self
1,M,24,Educational Services,1,0,self
1,M,23,Information,5,1,spouse
1,M,23,Information,,0,spouse
1,F,22,Health Care and Social Assistance,3,0,spouse
0,F,24,Manufacturing,5,1,spouse
0,F,24,Manufacturing,1,1,spouse
0,M,57,Manufacturing,2,0,spouse
0,M,57,Manufacturing,,0,spouse
1,M,57,Manufacturing,1,0,self
1,F,36,Educational Services,2,1,self
1,M,32,Information,5,1,spouse
1,M,32,Information,,0,spouse
0,M,30,Information,5,1,spouse
0,M,30,Information,,0,spouse
0,F,21,Information,2,0,spouse
1,F,21,Information,,0,spouse
0,F,36,Retail Trade,1,0,self
0,F,59,Health Care and Social Assistance,2,0,self
1,M,24,Information,4,1,spouse
1,M,24,Information,,0,spouse
1,M,24,Information,,0,spouse
0,M,58,Health Care and Social Assistance,3,1,spouse
0,M,58,Health Care and Social Assistance,1,1,spouse
1,M,22,Information,4,0,spouse
1,M,22,Information,,0,spouse
1,M,23,Retail Trade,1,0,self
1,F,56,Health Care and Social Assistance,2,0,spouse
1,M,19,Information,5,1,spouse
1,M,19,Information,,0,spouse
0,F,46,Finance and Insurance,4,1,spouse
0,F,46,Finance and Insurance,2,1,spouse
0,F,47,Health Care and Social Assistance,5,1,spouse
0,F,47,Health Care and Social Assistance,3,1,spouse
0,M,27,"Professional, Scientific, and Technical Services",4,1,self
0,F,51,Health Care and Social Assistance,2,0,spouse
1,F,19,Finance and Insurance,4,1,spouse
1,M,24,Health Care and Social Assistance,4,0,spouse
1,F,18,Information,6,1,spouse
1,F,18,Information,,0,spouse
1,F,55,Health Care and Social Assistance,3,0,spouse
0,F,52,Health Care and Social Assistance,3,0,spouse
0,M,26,"Professional, Scientific, and Technical Services",1,0,self
0,F,57,Health Care and Social Assistance,4,0,spouse
0,F,22,Information,2,0,spouse
1,F,22,Information,,0,spouse
1,F,44,Public Administration,5,1,self
1,F,31,Information,4,1,spouse
1,F,31,Information,,0,spouse
0,M,40,Information,1,0,self
0,M,32,Manufacturing,2,1,spouse
0,M,53,Health Care and Social Assistance,4,0,spouse
0,M,53,Health Care and Social Assistance,,0,spouse
1,F,56,Health Care and Social Assistance,2,0,spouse
1,M,22,Finance and Insurance,5,1,spouse
1,F,32,Health Care and Social Assistance,3,1,spouse
